date,bases,open_access_bases,bytes,open_access_bytes
09/23/2008,1.13718E+12,1.13718E+12,8.36319E+12,8.36319E+12
09/24/2008,1.15542E+12,1.15542E+12,8.5227E+12,8.5227E+12
09/25/2008,1.15977E+12,1.15977E+12,8.56818E+12,8.56818E+12
09/26/2008,1.18646E+12,1.18646E+12,8.83048E+12,8.83048E+12
09/27/2008,1.20995E+12,1.20995E+12,9.03487E+12,9.03487E+12
09/28/2008,1.23275E+12,1.23275E+12,9.23378E+12,9.23378E+12
09/29/2008,1.24586E+12,1.24586E+12,9.34862E+12,9.34862E+12
09/30/2008,1.27977E+12,1.27977E+12,9.61913E+12,9.61913E+12
10/01/2008,1.3162E+12,1.3162E+12,9.89016E+12,9.89016E+12
10/02/2008,1.32948E+12,1.32948E+12,1.00111E+13,1.00111E+13
10/03/2008,1.33536E+12,1.33536E+12,1.00569E+13,1.00569E+13
10/04/2008,1.37029E+12,1.37029E+12,1.03466E+13,1.03466E+13
10/05/2008,1.3898E+12,1.3898E+12,1.05424E+13,1.05424E+13
10/06/2008,1.41632E+12,1.41632E+12,1.08009E+13,1.08009E+13
10/07/2008,1.42067E+12,1.42067E+12,1.08335E+13,1.08335E+13
10/08/2008,1.42218E+12,1.42218E+12,1.0846E+13,1.0846E+13
10/09/2008,1.42929E+12,1.42929E+12,1.0913E+13,1.0913E+13
10/10/2008,1.44512E+12,1.44512E+12,1.10688E+13,1.10688E+13
10/11/2008,1.46329E+12,1.46329E+12,1.125E+13,1.125E+13
10/12/2008,1.49503E+12,1.49503E+12,1.15507E+13,1.15507E+13
10/13/2008,1.51559E+12,1.51559E+12,1.1742E+13,1.1742E+13
10/14/2008,1.518E+12,1.518E+12,1.1774E+13,1.1774E+13
10/15/2008,1.53108E+12,1.53108E+12,1.19004E+13,1.19004E+13
10/16/2008,1.5418E+12,1.5418E+12,1.20136E+13,1.20136E+13
10/17/2008,1.58338E+12,1.58338E+12,1.23813E+13,1.23813E+13
10/20/2008,1.64767E+12,1.64767E+12,1.28862E+13,1.28862E+13
10/21/2008,1.69919E+12,1.69919E+12,1.3349E+13,1.3349E+13
10/22/2008,1.76335E+12,1.76335E+12,1.3807E+13,1.3807E+13
10/23/2008,1.802E+12,1.802E+12,1.41417E+13,1.41417E+13
10/24/2008,1.91117E+12,1.91117E+12,1.50658E+13,1.50658E+13
10/25/2008,1.95081E+12,1.95081E+12,1.53008E+13,1.53008E+13
10/27/2008,1.97063E+12,1.97063E+12,1.53849E+13,1.53849E+13
10/28/2008,1.99669E+12,1.99669E+12,1.55628E+13,1.55628E+13
10/29/2008,2.03271E+12,2.03271E+12,1.57803E+13,1.57803E+13
10/30/2008,2.05091E+12,2.05091E+12,1.58211E+13,1.58211E+13
10/31/2008,2.07144E+12,2.07144E+12,1.59521E+13,1.59521E+13
11/04/2008,2.07167E+12,2.07167E+12,1.59527E+13,1.59527E+13
11/06/2008,2.07375E+12,2.07375E+12,1.59573E+13,1.59573E+13
11/07/2008,2.0759E+12,2.0759E+12,1.59662E+13,1.59662E+13
11/08/2008,2.08954E+12,2.08954E+12,1.60784E+13,1.60784E+13
11/13/2008,2.08965E+12,2.08965E+12,1.60787E+13,1.60787E+13
11/14/2008,2.09058E+12,2.09058E+12,1.60808E+13,1.60808E+13
11/17/2008,2.09091E+12,2.09091E+12,1.60815E+13,1.60815E+13
11/18/2008,2.09778E+12,2.09778E+12,1.60963E+13,1.60963E+13
11/20/2008,2.09913E+12,2.09913E+12,1.60995E+13,1.60995E+13
11/21/2008,2.10093E+12,2.10093E+12,1.61138E+13,1.61138E+13
11/25/2008,2.10717E+12,2.10717E+12,1.61398E+13,1.61398E+13
12/03/2008,2.11757E+12,2.11757E+12,1.61664E+13,1.61664E+13
12/04/2008,2.11799E+12,2.11799E+12,1.61673E+13,1.61673E+13
12/05/2008,2.12713E+12,2.12713E+12,1.61879E+13,1.61879E+13
12/08/2008,2.14225E+12,2.14225E+12,1.62208E+13,1.62208E+13
12/09/2008,2.14316E+12,2.14316E+12,1.62267E+13,1.62267E+13
12/10/2008,2.14425E+12,2.14425E+12,1.62376E+13,1.62376E+13
12/11/2008,2.15553E+12,2.15553E+12,1.63845E+13,1.63845E+13
12/16/2008,2.15705E+12,2.15705E+12,1.63878E+13,1.63878E+13
12/19/2008,2.15768E+12,2.15768E+12,1.63894E+13,1.63894E+13
12/20/2008,2.17851E+12,2.17851E+12,1.64345E+13,1.64345E+13
12/22/2008,2.1792E+12,2.1792E+12,1.64359E+13,1.64359E+13
12/23/2008,2.18223E+12,2.18223E+12,1.64514E+13,1.64514E+13
12/24/2008,2.18234E+12,2.18234E+12,1.64516E+13,1.64516E+13
12/28/2008,2.24777E+12,2.24777E+12,1.65954E+13,1.65954E+13
12/29/2008,2.25082E+12,2.25082E+12,1.66071E+13,1.66071E+13
12/31/2008,2.25105E+12,2.25105E+12,1.66076E+13,1.66076E+13
01/05/2009,2.25108E+12,2.25108E+12,1.66077E+13,1.66077E+13
01/06/2009,2.25829E+12,2.25829E+12,1.66284E+13,1.66284E+13
01/07/2009,2.29969E+12,2.29969E+12,1.67447E+13,1.67447E+13
01/08/2009,2.30262E+12,2.30262E+12,1.67512E+13,1.67512E+13
01/09/2009,2.35067E+12,2.35067E+12,1.68836E+13,1.68836E+13
01/10/2009,2.35082E+12,2.35082E+12,1.68839E+13,1.68839E+13
01/12/2009,2.3519E+12,2.3519E+12,1.68867E+13,1.68867E+13
01/13/2009,2.36602E+12,2.36602E+12,1.69333E+13,1.69333E+13
01/14/2009,2.36719E+12,2.36719E+12,1.69359E+13,1.69359E+13
01/15/2009,2.36756E+12,2.36756E+12,1.69369E+13,1.69369E+13
01/16/2009,2.38553E+12,2.38553E+12,1.69837E+13,1.69837E+13
01/20/2009,2.38651E+12,2.38651E+12,1.69858E+13,1.69858E+13
01/21/2009,2.38732E+12,2.38732E+12,1.69866E+13,1.69866E+13
01/22/2009,2.38747E+12,2.38747E+12,1.6987E+13,1.6987E+13
01/26/2009,2.38852E+12,2.38852E+12,1.69894E+13,1.69894E+13
01/28/2009,2.40059E+12,2.40059E+12,1.70264E+13,1.70264E+13
01/29/2009,2.44741E+12,2.44741E+12,1.71287E+13,1.71287E+13
01/30/2009,2.4699E+12,2.4699E+12,1.71771E+13,1.71771E+13
01/31/2009,2.47384E+12,2.47384E+12,1.71858E+13,1.71858E+13
02/02/2009,2.47826E+12,2.47826E+12,1.72404E+13,1.72404E+13
02/03/2009,2.5239E+12,2.5239E+12,1.76645E+13,1.76645E+13
02/04/2009,2.54052E+12,2.54052E+12,1.78205E+13,1.78205E+13
02/05/2009,2.54337E+12,2.54337E+12,1.78471E+13,1.78471E+13
02/06/2009,2.54474E+12,2.54474E+12,1.78507E+13,1.78507E+13
02/09/2009,2.54485E+12,2.54485E+12,1.7851E+13,1.7851E+13
02/10/2009,2.54573E+12,2.54573E+12,1.78531E+13,1.78531E+13
02/11/2009,2.55392E+12,2.55392E+12,1.78769E+13,1.78769E+13
02/12/2009,2.55653E+12,2.55653E+12,1.78815E+13,1.78815E+13
02/13/2009,2.55814E+12,2.55814E+12,1.78948E+13,1.78948E+13
02/17/2009,2.56969E+12,2.56969E+12,1.80033E+13,1.80033E+13
02/18/2009,2.57189E+12,2.57189E+12,1.80103E+13,1.80103E+13
02/19/2009,2.57336E+12,2.57336E+12,1.80139E+13,1.80139E+13
02/20/2009,2.57573E+12,2.57573E+12,1.80198E+13,1.80198E+13
02/23/2009,2.58634E+12,2.58634E+12,1.81074E+13,1.81074E+13
02/24/2009,2.58649E+12,2.58649E+12,1.81077E+13,1.81077E+13
02/26/2009,2.58664E+12,2.58664E+12,1.81081E+13,1.81081E+13
02/27/2009,2.61187E+12,2.61187E+12,1.81778E+13,1.81778E+13
02/28/2009,2.62145E+12,2.62145E+12,1.82099E+13,1.82099E+13
03/03/2009,2.74538E+12,2.74538E+12,1.86018E+13,1.86018E+13
03/04/2009,2.82965E+12,2.82965E+12,1.88793E+13,1.88793E+13
03/05/2009,2.88391E+12,2.88391E+12,1.90534E+13,1.90534E+13
03/06/2009,2.93924E+12,2.93924E+12,1.92073E+13,1.92073E+13
03/07/2009,2.97998E+12,2.97998E+12,1.93509E+13,1.93509E+13
03/08/2009,3.00191E+12,3.00191E+12,1.94236E+13,1.94236E+13
03/09/2009,3.03451E+12,3.03451E+12,1.95328E+13,1.95328E+13
03/10/2009,3.07399E+12,3.07399E+12,1.96712E+13,1.96712E+13
03/11/2009,3.09515E+12,3.09515E+12,1.97277E+13,1.97277E+13
03/13/2009,3.09547E+12,3.09547E+12,1.97284E+13,1.97284E+13
03/16/2009,3.09564E+12,3.09564E+12,1.97289E+13,1.97289E+13
03/17/2009,3.09574E+12,3.09574E+12,1.97291E+13,1.97291E+13
03/18/2009,3.0961E+12,3.0961E+12,1.97299E+13,1.97299E+13
03/19/2009,3.0961E+12,3.0961E+12,1.97299E+13,1.97299E+13
03/20/2009,3.09639E+12,3.09639E+12,1.97306E+13,1.97306E+13
03/23/2009,3.09725E+12,3.09725E+12,1.97325E+13,1.97325E+13
03/24/2009,3.09725E+12,3.09725E+12,1.97325E+13,1.97325E+13
03/25/2009,3.10225E+12,3.10225E+12,1.97439E+13,1.97439E+13
03/26/2009,3.10234E+12,3.10234E+12,1.97442E+13,1.97442E+13
03/30/2009,3.10588E+12,3.10588E+12,1.97495E+13,1.97495E+13
04/01/2009,3.10733E+12,3.10733E+12,1.97544E+13,1.97544E+13
04/02/2009,3.1075E+12,3.1075E+12,1.97548E+13,1.97548E+13
04/06/2009,3.11149E+12,3.11149E+12,1.97813E+13,1.97813E+13
04/08/2009,3.12197E+12,3.12197E+12,1.98145E+13,1.98145E+13
04/09/2009,3.2004E+12,3.2004E+12,1.9998E+13,1.9998E+13
04/10/2009,3.26108E+12,3.26108E+12,2.01654E+13,2.01654E+13
04/11/2009,3.31769E+12,3.31769E+12,2.03116E+13,2.03116E+13
04/12/2009,3.37472E+12,3.37472E+12,2.04638E+13,2.04638E+13
04/13/2009,3.47488E+12,3.47488E+12,2.07267E+13,2.07267E+13
04/14/2009,3.56204E+12,3.56204E+12,2.10997E+13,2.10997E+13
04/15/2009,3.6106E+12,3.6106E+12,2.1489E+13,2.1489E+13
04/16/2009,3.64707E+12,3.64707E+12,2.17704E+13,2.17704E+13
04/17/2009,3.68615E+12,3.68615E+12,2.18722E+13,2.18722E+13
04/18/2009,3.75445E+12,3.75445E+12,2.24218E+13,2.24218E+13
04/19/2009,3.81804E+12,3.81804E+12,2.29329E+13,2.29329E+13
04/20/2009,3.87587E+12,3.87587E+12,2.33984E+13,2.33984E+13
04/21/2009,3.94148E+12,3.94148E+12,2.39079E+13,2.39079E+13
04/22/2009,4.04873E+12,4.04873E+12,2.47659E+13,2.47659E+13
04/23/2009,4.20002E+12,4.20002E+12,2.59772E+13,2.59772E+13
04/24/2009,4.26906E+12,4.26906E+12,2.6536E+13,2.6536E+13
04/25/2009,4.28796E+12,4.28796E+12,2.66878E+13,2.66878E+13
04/27/2009,4.28827E+12,4.28827E+12,2.66903E+13,2.66903E+13
04/28/2009,4.30348E+12,4.30348E+12,2.68388E+13,2.68388E+13
04/29/2009,4.33718E+12,4.33718E+12,2.7124E+13,2.7124E+13
04/30/2009,4.38098E+12,4.38098E+12,2.74728E+13,2.74728E+13
05/03/2009,4.38113E+12,4.38113E+12,2.74731E+13,2.74731E+13
05/04/2009,4.38183E+12,4.38183E+12,2.74787E+13,2.74787E+13
05/05/2009,4.45804E+12,4.45804E+12,2.8022E+13,2.8022E+13
05/06/2009,4.49511E+12,4.49511E+12,2.80557E+13,2.80557E+13
05/07/2009,4.51976E+12,4.51976E+12,2.81069E+13,2.81069E+13
05/08/2009,4.6271E+12,4.6271E+12,2.83713E+13,2.83713E+13
05/09/2009,4.62779E+12,4.62779E+12,2.83728E+13,2.83728E+13
05/13/2009,4.63629E+12,4.63629E+12,2.83909E+13,2.83909E+13
05/14/2009,4.71258E+12,4.71258E+12,2.84808E+13,2.84808E+13
05/17/2009,4.71407E+12,4.71407E+12,2.8484E+13,2.8484E+13
05/20/2009,4.71716E+12,4.71716E+12,2.84895E+13,2.84895E+13
05/22/2009,4.86279E+12,4.86279E+12,2.87709E+13,2.87709E+13
05/27/2009,4.89741E+12,4.89741E+12,2.88372E+13,2.88372E+13
